文章標題;作者;IP;國家
[問卦] 館長會怎麼賣烏骨雞??;ralfeistein;1.165.55.104;Taiwan
[問卦] Pyoapple的比基尼為甚麼很多洞;NicoToscani;61.224.57.91;Taiwan
[新聞] Nirvana被當年的裸體嬰兒告了;patagonia;218.173.80.67;Taiwan
[問卦] 大家記得你上一次看報紙是麼時候嗎?;thelittleone;118.167.252.134;Taiwan
Re: [新聞] 塔利班2.0超時髦！18萬Gucci治裝 卻不准;a0919414591;27.246.60.10;Taiwan
[問卦] 為什麼道歉的時候要採用敬禮手勢阿?;chin2049;59.102.171.42;Taiwan
[問卦] 宵夜推薦永豆還麥當勞;david0426;118.232.140.131;Taiwan
[問卦] 阿拉花瓜哪個國家最進步安全？;jeter17;101.136.52.211;Taiwan
Re: [新聞] 越籍母女管倉庫「代購收出貨」！走私逾百;tsai999;218.164.43.27;Taiwan
[新聞] 大股東是三立電視！《麥卡貝綜合台》;MaligB;36.224.196.166;Taiwan
Re: [新聞] 23日接種高端疫苗 蔡總統：至今無任何異;YU0121;111.241.8.101;Taiwan
[爆卦] 疫情整理:以色列確診破萬 北歐東歐新熱點;derekhsu;175.182.27.233;Taiwan
Re: [新聞] BNT疫苗傳最快「下周送到」！路透：中國 ;genius721105;39.13.100.149;Taiwan
[問卦] 家裡養雞養到快破產怎麼辦;chadmu;61.231.201.129;Taiwan
[問卦] dcard熱門：如何避免噁男行為;Josh160864;223.138.58.230;Taiwan
Re: [新聞] 全美最嚴 奧勒岡州強制戶外戴口罩;dixitdeus;172.58.203.202;United States
[新聞] 逾百萬劑BNT疫苗將提早抵台 指揮中心證實;H2;111.241.70.241;Taiwan
[新聞] 反對亂加碼紓困金　柯文哲預測：再幾個;Tiphareth;1.168.200.236;Taiwan
Re: [新聞] 看到蘇貞昌飆關務署 王世堅轟甩鍋基層：;DCSHK;14.137.220.79;Australia
Re: [新聞] BNT疫苗傳最快「下周送到」！路透：中國 ;Orianna;101.137.56.140;Taiwan
Re: [問卦] 對方講 XXX是你家的事 要怎樣嗆回去才對;tn00270144;27.242.165.11;Taiwan
[問卦] 忠孝東路西對介壽大路遐;kasumi5566;180.217.128.87;Taiwan
[問卦] 妹妹偷剪我的30公分...;redDest;42.77.59.253;Taiwan
Re: [問卦] 會一直打XD是什麼人;jeans520;123.193.249.95;Taiwan
[問卦] 塔綠班是誰啊????;erik8866;58.114.18.252;Taiwan
[問卦] 侄子問什麼是口交該怎麼回？;generalfungi;59.115.57.34;Taiwan
Re: [新聞] BNT疫苗傳最快「下周送到」！路透：中國;venson;180.176.141.164;Taiwan
[問卦] 很多煩惱的時候該做什麼 ? 樂芙知道嗎 ?;patient35;114.25.170.235;Taiwan
Re: [問卦] 驚！南部人早餐鍋燒意麵？！;pastoris;150.116.67.54;Taiwan
[問卦] 選哪支疫苗,最安全的八卦?;lelena;111.243.150.72;Taiwan
